"","","2.5%","5%","50%","95%","97.5%"
"SMB 1 annuli",131.468039689653,115.369440854603,118.226706405142,131.448749920386,144.781486527372,147.31342545561
"SMB 2 annuli",202.695925686675,186.004113758219,188.677452075094,202.606104819492,217.159507093006,220.020088862296
"SMB 3 annuli",255.961252077237,237.136866004173,240.19585605867,255.820618057027,272.198849970107,275.3785978613
"SMB 4 annuli",295.909636287914,274.690126442793,278.101798662315,295.884016729815,314.028866244986,317.551223340635
"SMB 5 annuli",325.952893233173,300.499855411997,305.000635391874,326.072564867629,346.616355789558,351.034496802203
"SMB 6 annuli",348.606054951039,317.627630536048,323.15476431021,349.020081559533,372.780170099709,377.620392496363
"SMB 7 annuli",365.7295372872,328.694350573948,335.738680760469,366.398657508901,393.682187484663,399.233093502452
"SMB 8 annuli",378.704013749754,335.770927854216,344.052766594785,379.676585075162,410.516396617246,416.813878180289
"NA",388.557273166451,340.634660147059,349.65921264572,389.638740722904,424.227286838833,431.085737381329
"NA",396.056634508831,343.870994057276,353.61315211438,397.165851964613,435.14757036762,442.964645173353
"NA",401.77653500837,346.037930520446,356.129253903738,402.752346317374,443.924935619694,452.630464206114
"NA",406.148142465744,347.423987095616,357.828400720864,407.103008417641,450.974563787817,460.634616346205
"NA",409.49589784007,348.434953161229,359.080357994036,410.358341644593,456.760192130609,466.999515322284
"NA",412.064518251091,349.005937999535,359.937905609408,412.813447788419,461.55741607009,472.190048811196
"NA",414.039011709698,349.424605097874,360.543680714506,414.667803037386,465.295391049771,476.457871821203
"NB 1 annuli",134.451200702583,122.539739108991,124.356366544862,134.431154172082,144.633795617187,146.679120727805
"NB 2 annuli",204.735439928179,191.862858660544,193.842137044727,204.621637091348,215.849070484368,218.095493087348
"NB 3 annuli",258.116134782222,243.745196735285,246.103225215443,258.060394827799,270.406306033994,272.950786672607
"NB 4 annuli",298.723192814445,282.743634150002,285.261326420902,298.700228455476,312.323298848435,314.905284277979
"NB 5 annuli",329.661308010388,310.942769973351,313.843722174682,329.714539635923,345.196572918189,348.283268903425
"NB 6 annuli",353.268591781866,330.377324533598,334.138249465505,353.506260883858,371.504003328741,375.178221482871
"NB 7 annuli",371.308886143548,343.657789428052,348.615070389014,371.672272177295,392.545101387548,397.033253329345
"NB 8 annuli",385.115047794023,352.679645246166,358.635195550408,385.577206353524,409.874395079352,414.449272125384
"NA",395.695908468103,359.301869373283,365.812332849689,396.202297852314,423.766489532481,428.769769415764
"NA",403.816269514897,363.749317392373,370.851862166628,404.283180407357,434.94972444079,440.624861385674
"NA",410.056838100376,366.999191869272,374.401255494339,410.480047105795,443.938814235568,450.21147611495
"NA",414.859214317854,369.199168775808,377.012560436354,415.231307044549,451.163475353646,458.072332119394
"NA",418.559716166672,370.726499893885,378.814829705734,418.84002286975,456.968125922001,464.47818109979
"NA",421.414854828008,371.761935410275,380.165180539504,421.618316576184,461.749281532419,469.669181912786
"NA",423.62055294502,372.485783584158,380.98135895415,423.741099053178,465.495927008891,473.813738796522
"Difference at 1 annuli",-2.98316101293016,-23.4768476231955,-20.0076381685743,-2.84265052564957,13.7171497693539,17.0643906074548
"Difference at 2 annuli",-2.03951424150337,-23.7839899950629,-20.2561521161408,-2.12479384478871,16.5383370121642,20.2920026454641
"Difference at 3 annuli",-2.15488270498495,-26.8885019790827,-22.843674456329,-2.2597451548328,18.6605816920515,23.1016495855525
"Difference at 4 annuli",-2.81355652653067,-30.4289945880251,-26.0777322883784,-2.80603578733925,20.3026716317694,25.3591798616374
"Difference at 5 annuli",-3.70841477721546,-35.900604848849,-30.2320510940879,-3.51226673886762,22.4593443457522,28.0885456726846
"Difference at 6 annuli",-4.66253683082674,-42.8129244769122,-35.691343887341,-4.18024895424682,24.922804854735,31.5146071996393
"Difference at 7 annuli",-5.57934885634717,-50.1210307067816,-41.3433426172687,-4.67464882741504,27.9098171351896,35.6325236424982
"Difference at 8 annuli",-6.41103404426874,-56.9621855148344,-47.4158135205967,-5.0448142450465,30.8578835521567,40.3595640800685
"NA",-7.13863530165114,-63.7876569419195,-52.7502308395115,-5.33827472236447,34.2404135822439,44.4395157641041
"NA",-7.7596350060658,-69.6151793489992,-57.2235217998843,-5.49925249644809,37.0555261654914,48.5604934624382
"NA",-8.28030309200598,-75.0559715222165,-61.3061434708951,-5.71938199043728,39.4717535368177,52.1692584613563
"NA",-8.71107185210972,-79.5319291588037,-64.8314887337541,-5.86510875960289,41.9612726937258,55.0459383938464
"NA",-9.06381832660219,-83.1615250467206,-67.6645937883427,-5.93511869158212,43.7526305727648,57.8451866895336
"NA",-9.35033657691699,-86.2280229194025,-69.788916529532,-5.99288771964646,45.3162173645605,60.2837320304735
"NA",-9.58154123532225,-88.6471333728351,-71.887220493037,-6.08019668511093,46.7152045877585,62.2652658544044
